,Suhu(sensor),pH(sensor)
478,31.6,6.5
479,26.7,7.8
480,27.6,8.6
481,29.5,8.1
482,28.0,8.0
483,29.3,8.0
484,27.8,7.7
485,25.0,8.5
486,26.0,8.5
487,28.0,8.4
488,28.3,8.0
489,28.5,7.5
490,29.0,7.6
491,25.2860606060606,8.7
492,27.0,8.4
493,26.0,8.4
494,25.3,7.8
495,28.4,8.1
496,26.0,7.6
497,28.0,8.0
498,29.0,7.8
499,27.8,8.0
